method,fold,loss
constant,1,0.0
constant,2,0.0
constant,3,0.0001626628936024
constant,4,8.761262240846166e-05
constant,5,0.0
linear,1,0.0
linear,2,0.0
linear,3,0.000128550113759
linear,4,9.276285925423656e-05
linear,5,0.0
knn,1,0.0
knn,2,3.0127779107633668e-05
knn,3,0.0047209267983145
knn,4,0.0001637530272104
knn,5,0.0001940056626246
mmit,1,0.0
mmit,2,0.0
mmit,3,5.893768886957415e-05
mmit,4,0.000119272774061
mmit,5,5.0298786844496815e-08
rf,1,0.0
rf,2,0.0
rf,3,6.159196535573306e-05
rf,4,5.9870545585246416e-05
rf,5,0.0
mlp,1,0.0
mlp,2,0.00014083947708630996
mlp,3,0.00023575577497859457
mlp,4,3.562824794693875e-05
mlp,5,4.088728397710996e-05
