method,fold,loss
constant,1,0.0218554405910303
constant,2,0.02280333623174
constant,3,0.0141811874528257
constant,4,0.0186683321829011
constant,5,0.0194393639296718
linear,1,0.0109860601617351
linear,2,0.0089242820666472
linear,3,0.0062799568802206
linear,4,0.0091291755581648
linear,5,0.0103429374678311
knn,1,0.012499362221016
knn,2,0.0119988546603184
knn,3,0.006641503097862
knn,4,0.009925064919764
knn,5,0.0100708578026806
mlp,1,0.011464470727673962
mlp,2,0.009231853018692634
mlp,3,0.007193412753563859
mlp,4,0.00822252605245841
mlp,5,0.01199064314699032
mmit,1,0.010919738694344712
mmit,2,0.012257950953686548
mmit,3,0.010212580294216511
mmit,4,0.013078657193164669
mmit,5,0.014899842160800217
