method,fold,loss
constant,1,0.0005643830286901
constant,2,0.0002419397907539
constant,3,0.0004059837360659
constant,4,0.0001513378891751
constant,5,0.0003543140196165
linear,1,0.0001101034379087
linear,2,5.154929328728558e-05
linear,3,0.0001069802117065
linear,4,6.52112292594753e-05
linear,5,4.906945803885421e-05
mlp,1,0.0001212762589142
mlp,2,1.3792525951186731e-05
mlp,3,9.68855596598487e-05
mlp,4,6.067096926681578e-05
mlp,5,2.202001149777891e-05
mmit,1,5.84108042166979e-05
mmit,2,0.0001267247730733
mmit,3,6.66780583803157e-05
mmit,4,4.924738538758802e-05
mmit,5,3.126907680095276e-05
knn,1,0.0001015048428727063
knn,2,4.3275114161840966e-05
knn,3,6.598651431345826e-05
knn,4,5.568007695836958e-05
knn,5,4.1083608375155395e-05
