method,fold,loss
constant,1,0.0019515039576028
constant,2,0.001344750771242
constant,3,0.0034667999386852
constant,4,0.0001462593493052
constant,5,0.0053752186725512
linear,1,0.0002924754684202
linear,2,0.0005968128082452
linear,3,0.0014445771014862
linear,4,0.0002742927835343
linear,5,0.0017174542486192
knn,1,0.0004066336456795
knn,2,0.0023454895401178
knn,3,0.0018260272789559
knn,4,0.0005997474325105
knn,5,0.0022416928991544
mmit,1,0.0001920485750049
mmit,2,0.0007943128472889
mmit,3,0.0008697770763058
mmit,4,0.0009046010202355
mmit,5,0.001131914502862
rf,1,0.000323113998034
rf,2,0.000408943170867
rf,3,0.0011868483713444
rf,4,0.0003058662609983
rf,5,0.0016002930403868
mlp,1,0.0002701857291327
mlp,2,0.000630335023724
mlp,3,0.0013427211211293
mlp,4,0.0004507192705127
mlp,5,0.0027747133623364
aft_xgboost,1,0.002328983687049504
aft_xgboost,2,0.007940591757723705
aft_xgboost,3,0.0016102862663623736
aft_xgboost,4,0.001333224304052567
aft_xgboost,5,0.011848584839263893
aft_xgboost_original,1,0.0005189108627162447
aft_xgboost_original,2,0.001593083626886422
aft_xgboost_original,3,0.0015728501924031984
aft_xgboost_original,4,6.370226227577652e-05
aft_xgboost_original,5,0.015142854137413576
aft_xgboost_extreme,1,9.625953968026197e-05
aft_xgboost_extreme,2,0.007867031519159504
aft_xgboost_extreme,3,0.005041514009887052
aft_xgboost_extreme,4,0.0029026155823678188
aft_xgboost_extreme,5,0.01796246889274814
aft_xgboost_sigmoid,1,0.0021247606747233304
aft_xgboost_sigmoid,2,0.005401602338436391
aft_xgboost_sigmoid,3,0.01694527344671713
aft_xgboost_sigmoid,4,0.005212558649520913
aft_xgboost_sigmoid,5,0.03182770601899926
