method,fold,loss
constant,1,5.3910202604179104e-05
constant,2,2.1316051762663e-05
constant,3,7.044762723585809e-05
constant,4,9.340164721289444e-05
constant,5,7.304502177883818e-05
linear,1,8.938352305827674e-05
linear,2,1.2395951528498964e-05
linear,3,5.5249049591773205e-05
linear,4,8.941240264391566e-05
linear,5,9.276242864118188e-05
mlp,1,5.930243953286742e-05
mlp,2,4.341463030606543e-05
mlp,3,0.0001187121751959
mlp,4,8.0657468510814e-05
mlp,5,4.019352009047575e-05
knn,1,2.6120692942068777e-05
knn,2,5.422842260814293e-05
knn,3,0.0001695147773922
knn,4,7.972674150309405e-05
knn,5,0.0001359715918348
mmit,1,3.770459676549243e-05
mmit,2,4.2953797799125076e-05
mmit,3,0.00013422326642154492
mmit,4,9.400936898908859e-05
mmit,5,5.681925221553067e-05
rf,1,4.488394906620235e-05
rf,2,1.7632616288123707e-05
rf,3,8.536856949185686e-05
rf,4,0.00010527295153426748
rf,5,6.154033888499146e-05
