method,fold,loss
constant,1,0.0034250652559426
constant,2,0.005439666233638
constant,3,0.0029056115309152
constant,4,0.0033719448217628
constant,5,0.0038364338820619
linear,1,0.0002434023020004
linear,2,4.91766232405626e-05
linear,3,2.5603819442258586e-06
linear,4,0.0002261927128327
linear,5,3.280013701318411e-05
mmit,1,0.0005422003667564
mmit,2,0.0010246391276664
mmit,3,0.0001141578252073
mmit,4,0.0001108439927369
mmit,5,0.0002261386815674
knn,1,0.0002578989514964
knn,2,0.0009556910599801
knn,3,9.76215877381396e-05
knn,4,0.0007027611878667
knn,5,0.0004743258482698
